code2,roe,altfin,altfin_gdp
PT,3.268360655737703,11707972,.000050398754
PY,13.19734999999999,8530842,.00022314326
QA,8.58923076923077,1717751.5,9.7308975e-06
RO,2.482538860103627,13941582,.000057232206
RS,2.539808917197452,184375.44,3.8718417e-06
RU,6.009999999999994,122075856,.000076200289
RW,4.080978260869563,6655030.5,.00069806119
SA,10.12085470085469,2990933.5,3.8486774e-06
SC,11.7975,2089.9807,1.4556450e-06
SD,23.12870967741934,91763.977,2.0797479e-06
SE,7.348014616321557,201303360,.00036979141
SG,7.383666666666664,320945216,.00090043573
SI,6.808947368421049,42304188,.00079958525
SK,7.903873873873875,7078169.5,.000069307651
SL,27.837,1042676.1,.00015998236
SN,7.679798657718117,3256658.5,.00015068959
SR,5.903684210526317,19233.365,5.2354362e-06
SV,6.920095693779906,4759150,.00018725237
SY,20.80507042253523,146496.94,8.6821638e-06
SZ,14.54541666666667,43950.703,.000010691144
TG,13.5240625,798356.63,.00011818713
TH,9.509913294797695,8050310,.000016183438
TJ,7.301190476190476,4612815.5,.00058057002
TN,7.318863636363639,135004.67,2.9939533e-06
TR,10.59894268774703,6564207,8.7950548e-06
TT,8.00217391304348,29262.914,1.2224776e-06
TW,7.560211416490488,54520332,
TZ,3.474471153846156,27514458,.00043975422
UA,7.435228758169938,165393424,.0010738316
UG,7.671675977653623,28377806,.00079273124
US,5.966758701734763,39896670208,.0019839872
UY,7.152137404580154,8301287.5,.00014928218
VE,11.27815533980583,180812.63,
VN,11.32816810344826,30678066,.000090718597
VU,2.164285714285715,15507.996,.000017633722
YE,11.35515625,495918.16,.000010273034
ZA,7.51119815668203,18954336,.000052498039
ZM,12.35317073170732,80131920,.0039673042
ZW,12.26155963302753,1747138.8,.000061420862
