year,ctrycode,lending,cap_raising,altfin
2018,BS,,.00649161,.0064916098
2019,BS,,.021126,.021126
2020,BS,,.03645248,.03645248
2017,BT,.01,,.0099999998
2018,BT,,.000325,.000325
2019,BT,,.000638420495,.00063842046
2020,BT,,.00060973,.00060972996
2013,BW,.008,.022213349775101,.03021335
2014,BW,,.0184088263843333,.018408826
2015,BW,,.002515,.0025150001
2016,BW,,.00387024340676,.0038702434
2017,BW,2.38119817870606,.009791,2.3909893
2018,BW,15.42399884785,.000390548014,15.42439
2019,BW,39.32060210006239,.00214620723981,39.322754
2020,BW,21.77151764189646,.04319049840806,21.814709
2015,BY,,.0374196917072669,.037419692
2016,BY,,.1456436231554501,.14564362
2017,BY,,.0007233265353074,.00072332652
2019,BY,3.959487899309997,.05814935339118,4.0176373
2020,BY,15.31697064832955,.01721406027598,15.334185
2014,BZ,,.086722,.086722001
2015,BZ,,.005088,.0050880001
2016,BZ,,.0014884627400403,.0014884628
2017,BZ,.0042,.028369,.032568999
2018,BZ,.0005,.039380548384,.039880548
2019,BZ,,.0345942705272,.034594271
2020,BZ,,.08953851046298,.089538507
2013,CA,8.137178,36.116608,44.253784
2014,CA,18.134944,69.67820399999999,87.813148
2015,CA,86.066115,123.646051,209.71216
2016,CA,160.8,173.6975708544694,334.49756
2017,CA,730.720155427,136.85739399315,867.57751
2018,CA,705.694401017168,202.4577279685736,908.1521
2019,CA,226.3331485904052,127.7441675575384,354.0773
2020,CA,169.6715678787542,171.1471592716897,340.81873
2013,CD,1.503275,.0425764285940119,1.5458513
2014,CD,3.4572,.038172907273645,3.495373
2015,CD,3.004875,.0267910903041349,3.031666
2016,CD,2.1343,.0664758491489028,2.2007759
2017,CD,,.170348,.170348
2018,CD,4.680304,.064271356282,4.7445755
2019,CD,3.195525,5.58440511877734,8.7799301
2020,CD,4.431488,.02562463761275,4.4571123
2019,CG,.00955,,.0095499996
2020,CG,,.00008004457136,.00008004457
2013,CH,,8.908507477643987,8.9085073
2014,CH,.132853,10.229681,10.362534
2015,CH,2.191777702425998,15.88822982897397,18.080008
2016,CH,8.9638326,23.69924625398989,32.663078
2017,CH,69.199614316554,17.91475895206402,87.114372
2018,CH,59.33580607000001,24.657422205758,83.993233
2019,CH,47.11648825438922,25.35074531479608,72.467232
2020,CH,48.4088438729013,37.81135216044964,86.2202
2013,CI,,.0124545650142522,.012454566
2014,CI,,.3626624019721861,.3626624
2015,CI,,.010406929966123,.01040693
2016,CI,3.92,.016014851724056,3.9360147
2017,CI,.05043025,.005153,.05558325
2018,CI,.9449199999999999,.00222476,.94714475
2019,CI,15.81316450921236,.28253958523075,16.095705
2020,CI,,.17379302519162,.17379303
2013,CL,11.726,.074197,11.800197
2014,CL,37.338246,.094197,37.432446
2015,CL,46.498231,1.07369,47.571918
2016,CL,92.896394,4.864931496734614,97.761322
2017,CL,143.395439548,7.29982389635,150.69527
2018,CL,286.181274005861,3.0741878035,289.25546
2019,CL,586.6195270191665,2.47381153542464,589.09332
2020,CL,967.6430785040004,3.80074273929536,971.44385
2013,CM,.284475,.1829909322589478,.46746594
2014,CM,2.13855,,2.13855
2015,CM,6.04615,1.025516745818199,7.0716667
2016,CM,.376025,.0209532677853716,.39697829
2017,CM,4.73122563,.172232,4.9103456
2018,CM,9.928885399999999,.08850186,10.017387
2019,CM,.165625,.8145842445977699,.98020923
2020,CM,.136625,.13788134117542,.27450633
2013,CN,4813.909986089702,1.718063403921516,4815.6284
2014,CN,22292.85137926123,30.30025580262695,22323.15
2015,CN,92130.21441511618,2169.808613894611,94300.023
2016,CN,236080.2031986604,2756.839531487112,238837.05
2017,CN,355578.9474801806,1207.891385998285,357815.03
2018,CN,214365.715023121,27.978441717778,214393.7
2019,CN,84336.6089324526,10.06617971809664,84346.672
2020,CN,1152.768942603729,8.411364938228852,1161.1803
2013,CO,,.01661,.01661
2014,CO,,.151658,.151658
2015,CO,,.333729,.333729
2016,CO,130.669975,.434089569602275,131.10406
2017,CO,49.926067289,.7036824393800001,50.629753
2018,CO,191.295551255612,1.17165363272,192.46719
2019,CO,453.5457972419662,2.58354910914151,456.12933
2020,CO,520.3595062013319,4.08470770042417,524.44421
2015,CR,,.070687,.070687003
2016,CR,,.1412982747046544,.14129828
2017,CR,9.797025,.1669521,9.9639769
2018,CR,17.819427569452,.202816321686,18.022243
2019,CR,53.41180190363,.03781365766663,53.449612
2020,CR,73.978575771981,.18162316114288,74.160202
2013,CU,,.026599,.026598999
2014,CU,,.011869,.011869
2015,CU,,.142362,.142362
2016,CU,,.22193878348,.22193877
2017,CU,,.10772915403,.10772916
2018,CU,,.006881,.006881
2020,CU,,.0049323894885,.0049323896
2014,CV,,.002273,.0022730001
2015,CV,,.00437,.0043700002
2016,CV,,.0067248364562789,.0067248363
2017,CV,,.00002,.000019999999
2013,CW,,1.3,1.3
2014,CW,,3.2029,3.2028999
2015,CW,,14.264108,14.264108
2017,CW,,.008836,.0088360002
2018,CW,,.00472136,.0047213598
2020,CW,,.00512105,.0051210499
2014,CY,,,.00265706
2015,CY,,.049970505976,.049970508
2016,CY,,.0879436195620853,.087943614
2017,CY,,.0062875309357195,.0062875305
2018,CY,63.1614276,.254036140312,63.415462
2019,CY,,.18498324061221,.18498324
2020,CY,1.40326883301856,.71351347018386,2.1167822
2013,CZ,,.3132679717439987,.31326798
2014,CZ,,.6267260563199987,.64426267
2015,CZ,7.934716028,2.134140005123,10.068856
