year,ctrycode,resid_roe,resid_int
2014,NL,-11.257392,10.181636
2015,NL,-12.217327,8.2866793
2016,NL,-10.515869,.10482346
2017,NL,-13.235507,.97905648
2018,NL,-13.078154,-1.7613193
2019,NL,-11.227152,-1.6433909
2020,NL,-12.237333,-5.9751091
2021,NL,-12.575415,-7.7863603
2013,NO,-5.4548655,14.741316
2014,NO,-5.4978809,15.15908
2015,NO,-6.4832783,13.928022
2016,NO,-4.9244657,7.8221817
2017,NO,-5.6186976,4.615232
2018,NO,-6.0315442,3.0286567
2019,NO,-6.4339299,1.9944352
2020,NO,-6.3762217,-3.2173853
2021,NO,-5.5992556,-1.4058592
2013,NP,4.231554,-36.623116
2014,NP,7.6406732,-35.543938
2015,NP,11.086205,-34.66481
2016,NP,13.724247,-39.209831
2017,NP,10.176037,-34.81839
2018,NP,6.0961871,-31.906153
2019,NP,5.1573963,-29.743071
2020,NP,3.1445768,-28.191988
2021,NP,4.4833326,-26.293108
2013,NZ,-2.7393906,6.6916428
2014,NZ,1.4445403,6.4741473
2015,NZ,3.3679008,6.4151988
2016,NZ,2.6068811,.95941073
2017,NZ,2.146723,.63278729
2018,NZ,2.2871542,.52026856
2019,NZ,1.7189647,-.91085923
2020,NZ,2.238276,2.6626656
2021,NZ,2.8434265,.84133536
2015,PA,2.58144,-14.050239
2016,PA,.55040878,-17.401178
2017,PA,.44447637,-12.712426
2018,PA,-.13886587,-12.276341
2019,PA,-.61726892,-12.80984
2020,PA,-1.4190511,-12.198527
2021,PA,-4.1035151,-2.4851391
2013,PE,-9.9117346,-27.608246
2014,PE,-11.388073,-28.062458
2015,PE,-7.4236631,-28.954613
2016,PE,-7.2846026,-30.72224
2017,PE,-7.501718,-27.640955
2018,PE,-7.8666763,-24.510555
2019,PE,-7.7484789,-22.80628
2020,PE,-11.847228,-19.716564
2021,PE,-15.638993,-12.324028
2018,PG,,
2019,PG,,
2020,PG,,
2021,PG,,
2013,PH,-6.9950256,-29.797195
2014,PH,-9.6546412,-29.906883
2015,PH,-9.2586374,-28.503139
2016,PH,-9.5537176,-32.649925
2017,PH,-9.4045696,-32.592953
2018,PH,-11.351359,-31.320944
2019,PH,-9.9461536,-35.351997
2020,PH,-9.8605013,-28.266857
2021,PH,-9.576952,-16.37289
2013,PK,-6.7505822,-45.524021
2014,PK,-6.6774783,-46.091904
2015,PK,-5.0717106,-47.326286
2016,PK,-5.2748141,-52.004723
2017,PK,-8.3021507,-53.455578
2018,PK,-8.3813391,-53.004299
2019,PK,-8.5699816,-53.485058
2020,PK,-7.8548598,-54.269985
2021,PK,-6.6838107,-55.076519
2013,PL,-4.2360873,-6.7020879
2014,PL,-3.2945879,-4.4442077
2015,PL,-4.125452,-4.1173229
2016,PL,-2.3872507,-5.3061714
2017,PL,-2.4685211,-3.5534759
2018,PL,-2.9374373,-4.5523028
2019,PL,-3.7133148,-4.360971
2020,PL,-3.7724476,-2.2877457
2021,PL,-3.9021392,-3.2891874
2013,PT,-8.8931799,-9.8154087
2014,PT,-5.0127592,-7.1909022
2015,PT,-3.1785378,-8.0018291
2016,PT,-7.8210397,-10.673799
2017,PT,-2.0438404,-10.101914
2018,PT,-3.8286934,-11.222423
2019,PT,-4.2669411,-12.251906
2020,PT,-5.5224195,-12.135177
2021,PT,-4.8980694,-10.410082
2014,PY,.78607434,-17.53492
2015,PY,-.3214893,-12.179234
2016,PY,-1.2520039,-14.98892
2017,PY,-1.8401531,-8.8167667
2018,PY,-2.4850538,-8.9863396
2019,PY,.15027463,-7.6898041
2020,PY,-1.654413,-3.1688612
2021,PY,-1.2981273,-2.5550437
2013,QA,-11.401135,13.616264
2014,QA,-10.864423,18.999275
2015,QA,-11.152186,17.453896
2018,QA,-16.440989,13.061859
2020,QA,-15.528587,6.1259823
2021,QA,,
2013,RO,-15.001677,-17.161552
2014,RO,-17.618532,-12.811393
2015,RO,-15.758067,-15.270828
2016,RO,-13.492112,-17.014015
2017,RO,-15.066186,-14.343552
2018,RO,-13.69022,-8.9130764
2019,RO,-13.773342,-7.4404373
2020,RO,-15.502372,-5.088192
2021,RO,-9.1355572,-3.469434
2015,RS,-13.978813,.099619761
2016,RS,-14.40891,-4.2046008
2017,RS,-8.1199036,-4.135159
2018,RS,-9.4803171,-3.7372272
2019,RS,-10.140616,-1.4924903
2020,RS,-12.053654,-2.5093741
2021,RS,-10.779325,-2.623481
2015,RU,-13.083523,8.1537628
2016,RU,-10.838805,3.1669335
2017,RU,-8.7064695,4.7199798
2018,RU,-8.8831434,6.821774
2019,RU,-8.6951227,5.2105627
2020,RU,-7.3522768,5.535532
2021,RU,-5.8914428,8.160944
2013,RW,-5.7939959,-53.237934
2014,RW,-3.5062983,-55.440723
2015,RW,-5.4924831,-52.232456
2016,RW,-9.3510237,-56.90836
2017,RW,-13.449475,-56.895988
2018,RW,-8.8810644,-55.506565
2019,RW,-6.2293906,-55.353207
2020,RW,-3.0044365,-57.216206
2021,RW,1.8961762,-59.131699
2016,SA,-10.239975,-.78405541
2017,SA,-9.5561295,17.313728
2018,SA,,
2019,SA,,
2020,SA,,
2021,SA,,
2014,SC,,
2015,SC,,
2016,SC,,
2017,SC,,
2020,SC,,
2021,SC,,
2014,SD,,
2017,SD,,
2021,SD,,
2013,SE,-2.8601756,16.522221
2014,SE,-2.8235674,14.309536
2015,SE,-2.3553989,11.559685
2016,SE,-2.8143756,3.7630529
2017,SE,-1.4991009,5.2864208
2018,SE,-2.105068,-.21471554
2019,SE,-1.6353817,3.3160954
2020,SE,-2.7655308,1.1766647
2021,SE,-2.1626139,-1.502986
2013,SG,-11.237119,2.5596976
2014,SG,-11.405128,-.8630535
2015,SG,-11.922487,-2.5115497
2016,SG,-12.110395,-3.2362528
2017,SG,-10.475036,-5.0179844
2018,SG,-8.9550333,-3.4282031
2019,SG,-9.976347,-5.4795227
2020,SG,-11.227208,-5.2097721
2021,SG,,
2015,SI,-14.658768,.015819721
2016,SI,-10.240767,-5.559957
2017,SI,-9.3786545,-4.1229649
2018,SI,-7.8598027,-5.4618807
2019,SI,-9.5830393,-5.6435456
2020,SI,-10.484961,-5.6762943
2021,SI,-9.2064648,-4.6736116
2013,SK,-10.143124,7.3352423
2014,SK,-3.80619,8.2520542
2015,SK,-5.6282277,5.437531
2016,SK,-6.9238777,-.2804037
2017,SK,-5.8702774,-.57855642
2018,SK,-6.2896085,-3.3396697
2019,SK,-7.0360165,-3.6881535
2020,SK,-8.4679289,2.0047367
2021,SK,-7.1618962,-3.6656291
2013,SL,1.4544702,-47.544312
2015,SL,23.782797,-57.687717
2016,SL,,
2017,SL,,
2018,SL,,
2019,SL,,
2020,SL,,
2021,SL,,
2013,SN,-7.6794987,-48.888794
2014,SN,-7.6593094,-42.212746
2015,SN,-11.988306,-38.910049
2016,SN,-7.8408122,-42.244011
2017,SN,-1.9991796,-41.097847
2018,SN,-5.6191726,-37.411129
2019,SN,-5.2195868,-32.343517
2020,SN,-5.3862376,-27.226042
2021,SN,,
2015,SR,-3.5034208,-22.065609
2017,SR,-4.7665033,-23.041218
2018,SR,,
2019,SR,,
2020,SR,,
2021,SR,,
2016,SV,-5.9424067,-42.31636
2017,SV,-5.371438,-38.518948
2018,SV,-4.4064827,-31.128164
2019,SV,-4.0810475,-26.195831
2020,SV,-3.6680808,-26.31653
2021,SV,-3.6519539,-17.891876
2013,SY,,
2015,SY,,
2017,SY,,
2020,SY,,
2021,SY,,
2013,SZ,,
2014,SZ,,
2015,SZ,,
2016,SZ,,
2017,SZ,,
2018,SZ,,
2020,SZ,,
2021,SZ,,
2013,TG,-.074267387,-53.632854
2014,TG,,
2015,TG,-28.832664,-49.95829
2016,TG,-15.994183,-60.939915
2017,TG,-5.0508242,-56.036823
2018,TG,-2.5145154,-56.346718
2019,TG,-1.7939854,-52.814922
2020,TG,,
2021,TG,,
2013,TH,-9.5438585,-39.18251
2014,TH,-10.749427,-35.433224
2015,TH,-9.4433632,-32.200481
2016,TH,-8.3173361,-29.850138
2017,TH,-9.428915,-26.020506
2018,TH,-9.0091572,-22.879671
2019,TH,-9.9653893,-16.011707
2020,TH,-8.788928,-8.2399855
2021,TH,-9.1293221,-3.715728
2017,TJ,,
2018,TJ,,
2019,TJ,,
2020,TJ,,
2021,TJ,,
2013,TN,-2.1094561,-15.501707
2014,TN,-2.7498281,-13.897058
2015,TN,,
2016,TN,,
2017,TN,,
2018,TN,,
2019,TN,,
2020,TN,,
2021,TN,,
2014,TR,-5.6020417,-17.429829
2015,TR,-6.7192154,-14.595181
2016,TR,-5.752389,-16.283752
2017,TR,-3.4630165,-10.609689
2018,TR,-2.652447,-5.7904925
2019,TR,-1.3818893,-5.0202684
2020,TR,-3.514812,-2.8337202
2021,TR,2.0106132,-1.2767203
2017,TT,,
2018,TT,,
2019,TT,,
2020,TT,,
2021,TT,,
2013,TW,,
2014,TW,,
2015,TW,,
2016,TW,,
2017,TW,,
2018,TW,,
2019,TW,,
2020,TW,,
2021,TW,,
2013,TZ,-1.8175788,-51.439129
2014,TZ,-2.2808096,-49.773037
2015,TZ,-2.0282211,-47.956406
2016,TZ,-3.1380038,-50.304035
2017,TZ,-8.1335278,-49.426613
2018,TZ,-10.021682,-50.119137
2019,TZ,-12.785328,-50.964417
2020,TZ,-11.855625,-53.325073
2021,TZ,,
2015,UA,-7.2486458,-8.8693447
2016,UA,1.2700125,-8.468998
2017,UA,-.84424996,-8.8665466
2018,UA,-4.2490249,-10.800243
2019,UA,-7.8911934,-9.1276312
2020,UA,-5.9787631,-4.2385168
2021,UA,.28286785,-2.8836327
2013,UG,-7.9898114,-53.98737
2014,UG,-5.8229132,-54.825634
2015,UG,-3.1859019,-54.614044
2016,UG,-3.065063,-61.814293
2017,UG,-3.5709043,
2018,UG,-4.2628541,
2019,UG,-5.6280074,
2020,UG,-7.2166309,-67.935326
2021,UG,-7.3784819,-69.787849
2013,US,3.826633,4.8290606
2014,US,3.6960893,5.0148973
2015,US,3.5611486,4.6888905
2016,US,3.6879148,7.4142962
2017,US,3.7880068,7.230514
2018,US,4.0859847,6.4402037
2019,US,3.956286,6.3520784
2020,US,4.0278902,5.2552061
2021,US,,
2014,UY,-8.3255224,-9.4555073
2015,UY,-9.9815607,-9.844245
2016,UY,-13.102649,-13.01637
2017,UY,-9.9576111,-11.983422
2018,UY,-4.7794857,-4.0907512
2019,UY,-3.9678249,-5.3492532
2020,UY,-5.987617,-6.0257316
2021,UY,-7.6883841,-5.2291865
2015,VE,,
2016,VE,,
2017,VE,,
2018,VE,,
2019,VE,,
2020,VE,,
2021,VE,,
2013,VN,-11.718461,-20.467928
2014,VN,-3.8691053,-19.114943
2015,VN,-5.1630154,-18.436438
2016,VN,-4.3014541,-16.127399
2017,VN,-3.3333344,-13.875148
2018,VN,-2.5939045,-4.5660081
2019,VN,6.042284,-8.4235792
2020,VN,-3.4263206,-10.654284
2021,VN,-4.8227825,-9.9561701
2015,VU,,
2016,VU,,
2017,VU,,
2018,VU,,
2019,VU,,
2020,VU,,
2021,VU,,
2013,YE,,
2014,YE,,
2015,YE,,
2016,YE,,
2017,YE,,
2018,YE,,
2019,YE,,
2020,YE,,
2021,YE,,
2013,ZA,-8.7017651,-23.226929
2014,ZA,-6.4470224,-21.475471
2015,ZA,-7.0570951,-20.259306
2016,ZA,-9.5506897,-24.365679
2017,ZA,-7.6405091,-24.200432
2018,ZA,-11.328751,-18.080173
2019,ZA,-12.045132,-14.140036
2020,ZA,-9.566246,-12.797264
2021,ZA,-9.9537468,-11.845933
2013,ZM,-1.4210156,-53.177502
2014,ZM,-.71096557,-51.842575
2015,ZM,-.97658777,-51.385761
2016,ZM,-.37991256,-55.615658
2017,ZM,-.268543,-58.128086
2018,ZM,4.0595379,-55.670322
2019,ZM,-5.5059299,-53.12714
2020,ZM,-7.9440994,-49.357582
2021,ZM,3.591814,-48.371704
2013,ZW,-12.281335,-35.847301
2014,ZW,-4.3550625,-36.401096
2015,ZW,-.22182314,-32.426559
2016,ZW,-3.6130292,-39.079887
2017,ZW,-2.1668918,-39.560955
2018,ZW,-.48912081,-42.360214
2019,ZW,-29.897757,-40.685768
2020,ZW,-1.3437693,-33.660442
2021,ZW,2.8941762,-37.494785
